train_number,train_type,source_station,destination_station,section_id,distance_km,scheduled_travel_time,actual_travel_time,scheduled_arrival,actual_arrival,delay_minutes,speed,weather,temperature,rain,visibility,congestion,station_dwell_time,disruption,timestamp,data_source,distance_remaining_km,remaining_travel_time_minutes,parsed_timestamp
12423,RAJADHANI,NDLS,GHY,NDLS-CNB-SEC-A,48.0,24.0,32.0,,,8.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,1104.0,560.0,2023-06-15 00:00:00+00:00
12508,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,48.0,32.0,50.0,,,18.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,2736.0,1842.0,2023-06-15 00:00:00+00:00
12510,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,48.0,32.0,58.0,,,26.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,1968.0,1338.0,2023-06-15 00:00:00+00:00
12424,RAJADHANI,GHY,NDLS,NDLS-CNB-SEC-A,48.0,24.0,29.0,,,5.0,120.0,CLEAR,25.0,0.0,8.0,LOW,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,1056.0,533.0,2023-06-15 00:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1200.0,800.0,977.0,,,177.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,1584.0,1233.0,2023-06-15 00:00:00+00:00
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,48.0,32.0,47.0,,,15.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,720.0,495.0,2023-06-15 00:00:00+00:00
12510,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1200.0,800.0,978.0,,,178.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T00:00:00Z,PUBLIC_HISTORICAL,816.0,722.0,2023-06-15 00:00:00+00:00
12510,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,96.0,64.0,94.0,,,30.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,1920.0,1310.0,2023-06-15 01:00:00+00:00
12508,EXPRESS,GHY,NDLS,KNP-PRYJ-SEC-B,1248.0,832.0,1024.0,,,192.0,90.0,CLEAR,25.0,0.0,8.0,HIGH,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,1536.0,1216.0,2023-06-15 01:00:00+00:00
12346,EXPRESS,GHY,NDLS,NDLS-CNB-SEC-A,96.0,64.0,80.0,,,16.0,90.0,CLEAR,25.0,0.0,8.0,MEDIUM,5.0,NONE,2023-06-15T01:00:00Z,PUBLIC_HISTORICAL,672.0,464.0,2023-06-15 01:00:00+00:00
