train_number,train_type,source_station,destination_station,section_id,distance_km,scheduled_travel_time,actual_travel_time,scheduled_arrival,actual_arrival,delay_minutes,speed,weather,temperature,rain,visibility,congestion,station_dwell_time,disruption,timestamp,data_source,distance_remaining_km,remaining_travel_time_minutes
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,18.0,0.0,9.0,LOW,,NONE,2024-01-15T16:55:00Z,PUBLIC_HISTORICAL,,
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,18:10,18:15,5.0,,CLEAR,18.0,0.0,9.0,LOW,,NONE,2024-01-15T18:12:00Z,PUBLIC_HISTORICAL,,
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,21:35,21:48,13.0,,CLEAR,15.0,0.0,9.0,LOW,,NONE,2024-01-15T21:40:00Z,PUBLIC_HISTORICAL,,
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,23:25,23:42,17.0,,FOGGY,12.0,,1.5,MEDIUM,,NONE,2024-01-15T23:30:00Z,PUBLIC_HISTORICAL,,
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,03:15,03:35,20.0,,FOGGY,8.0,,1.5,MEDIUM,,NONE,2024-01-16T03:20:00Z,PUBLIC_HISTORICAL,,
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,05:10,05:28,18.0,,FOGGY,7.0,,1.5,MEDIUM,,NONE,2024-01-16T05:15:00Z,PUBLIC_HISTORICAL,,
TR001,EXPRESS,,,KNP-PRYJ-SEC-B,,,,10:05,10:20,15.0,,CLOUDY,22.0,,4.0,LOW,,NONE,2024-01-16TEnd:00Z,PUBLIC_HISTORICAL,,
TR002,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-01-16T20:25:00Z,PUBLIC_HISTORICAL,,
TR002,EXPRESS,,,KNP-PRYJ-SEC-B,,,,04:30,04:38,8.0,,CLEAR,14.0,0.0,9.0,LOW,,NONE,2024-01-17T04:35:00Z,PUBLIC_HISTORICAL,,
TR002,EXPRESS,,,KNP-PRYJ-SEC-B,,,,06:50,07:05,15.0,,CLEAR,20.0,0.0,9.0,LOW,,NONE,2024-01-17T06:55:00Z,PUBLIC_HISTORICAL,,
TR002,EXPRESS,,,KNP-PRYJ-SEC-B,,,,08:35,08:45,10.0,,CLOUDY,28.0,,4.0,LOW,,NONE,2024-01-17TEnd:00Z,PUBLIC_HISTORICAL,,
TR003,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,12.0,0.0,9.0,LOW,,NONE,2024-01-17T06:05:00Z,PUBLIC_HISTORICAL,,
TR003,EXPRESS,,,KNP-PRYJ-SEC-B,,,,10:45,10:50,5.0,,CLEAR,22.0,0.0,9.0,LOW,,NONE,2024-01-17TEnd:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-01-18T22:30:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,01:15,01:22,7.0,,FOGGY,10.0,,1.5,LOW,,NONE,2024-01-19T01:20:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,04:30,04:45,15.0,,FOGGY,8.0,,1.5,LOW,,NONE,2024-01-19T04:35:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,10:45,11:05,20.0,,CLEAR,22.0,0.0,9.0,MEDIUM,,NONE,2024-01-19T10:50:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,16:20,16:38,18.0,,CLOUDY,26.0,,4.0,MEDIUM,,NONE,2024-01-19T16:25:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,20:30,20:52,22.0,,CLEAR,24.0,0.0,9.0,MEDIUM,,NONE,2024-01-19T20:35:00Z,PUBLIC_HISTORICAL,,
TR004,EXPRESS,,,KNP-PRYJ-SEC-B,,,,09:15,09:35,20.0,,CLOUDY,32.0,,4.0,MEDIUM,,NONE,2024-01-20TEnd:00Z,PUBLIC_HISTORICAL,,
TR005,EXPRESS,,,KNP-PRYJ-SEC-B,,,,Start,Start,0.0,,CLEAR,14.0,0.0,9.0,LOW,,NONE,2024-01-20T05:30:00Z,PUBLIC_HISTORICAL,,
TR005,EXPRESS,,,KNP-PRYJ-SEC-B,,,,07:15,07:20,5.0,,CLEAR,15.0,0.0,9.0,LOW,,NONE,2024-01-20T07:20:00Z,PUBLIC_HISTORICAL,,
TR005,EXPRESS,,,KNP-PRYJ-SEC-B,,,,08:45,08:55,10.0,,CLEAR,16.0,0.0,9.0,LOW,,NONE,2024-01-20T08:50:00Z,PUBLIC_HISTORICAL,,
