TrainID,StationSequence,StationOrder,ArrivalTime,DepartureTime,Distance,DayNumber,HaltTime
TR001,ST001,1,Start,16:55,0,0,0
TR001,ST033,2,18:10,18:12,150,0,2
TR001,ST029,3,21:35,21:40,330,0,5
TR001,ST028,4,23:25,23:30,465,0,5
TR001,ST014,5,03:15,03:20,785,1,5
TR001,ST026,6,05:10,05:15,945,1,5
TR001,ST003,7,10:05,End,1445,1,0
TR002,ST001,1,Start,20:25,0,0,0
TR002,ST013,2,04:30,04:35,685,1,5
TR002,ST012,3,06:50,06:55,865,1,5
TR002,ST002,4,08:35,End,1384,1,0
TR003,ST001,1,Start,06:05,0,0,0
TR003,ST009,2,10:45,End,308,0,0
TR004,ST001,1,Start,22:30,0,0,0
TR004,ST030,2,01:15,01:20,195,1,5
TR004,ST032,3,04:30,04:35,405,1,5
TR004,ST012,4,10:45,10:50,780,1,5
TR004,ST006,5,16:20,16:25,1160,1,5
TR004,ST021,6,20:30,20:35,1445,1,5
TR004,ST004,7,09:15,End,2180,2,0
TR005,ST001,1,Start,05:30,0,0,0
TR005,ST043,2,07:15,07:20,90,0,5
TR005,ST044,3,08:45,08:50,165,0,5
TR005,ST045,4,10:20,10:25,240,0,5
TR005,ST011,5,12:10,12:15,345,0,5
TR005,ST010,6,14:20,End,495,0,0
TR006,ST001,1,Start,06:50,0,0,0
TR006,ST033,2,08:20,08:22,150,0,2
TR006,ST030,3,09:50,End,195,0,0
TR007,ST002,1,Start,15:20,0,0,0
TR007,ST007,2,18:30,18:40,120,0,10
TR007,ST012,3,01:15,01:20,485,1,5
TR007,ST006,4,04:30,04:35,680,1,5
TR007,ST005,5,06:40,End,985,1,0
TR008,ST002,1,Start,05:50,0,0,0
TR008,ST007,2,09:35,End,120,0,0
TR009,ST002,1,Start,14:35,0,0,0
TR009,ST013,2,17:45,17:50,340,0,5
TR009,ST008,3,21:25,End,492,0,0
TR010,ST003,1,Start,18:10,0,0,0
TR010,ST026,2,20:30,20:35,160,0,5
TR010,ST025,3,22:15,22:20,275,0,5
TR010,ST024,4,00:45,00:50,395,1,5
TR010,ST022,5,06:30,06:35,740,1,5
TR010,ST021,6,10:15,10:20,950,1,5
TR010,ST006,7,16:20,End,1215,1,0
TR011,ST001,1,Start,15:00,0,0,0
TR011,ST033,2,17:30,End,150,0,0
TR012,ST001,1,Start,22:40,0,0,0
TR012,ST016,2,12:15,End,449,1,0
TR013,ST004,1,Start,23:15,0,0,0
TR013,ST020,2,04:30,End,280,0,0
TR014,ST001,1,Start,11:35,0,0,0
TR014,ST033,2,13:15,13:17,150,0,2
TR014,ST029,3,16:45,16:50,330,0,5
TR014,ST015,4,04:50,End,765,1,0
TR015,ST010,1,Start,17:45,0,0,0
TR015,ST011,2,19:30,19:35,150,0,5
TR015,ST045,3,20:50,20:55,225,0,5
TR015,ST044,4,21:40,21:45,300,0,5
TR015,ST043,5,22:30,End,405,0,0
TR016,ST004,1,Start,05:40,0,0,0
TR016,ST020,2,12:30,End,495,0,0
TR017,ST009,1,Start,15:30,0,0,0
TR017,ST001,2,20:15,End,308,0,0
TR018,ST010,1,Start,06:15,0,0,0
TR018,ST046,2,08:30,08:35,185,0,5
TR018,ST047,3,12:30,End,545,0,0
TR019,ST006,1,Start,20:45,0,0,0
TR019,ST012,2,06:30,End,560,1,0
TR020,ST002,1,Start,22:00,0,0,0
TR020,ST013,2,10:45,End,685,1,0
TR021,ST051,1,Start,07:00,0,0,0
TR021,ST053,2,10:00,End,275,0,0
TR022,ST005,1,Start,09:00,0,0,0
TR022,ST052,2,11:30,End,180,0,0
