TrainID,priority,TrainType,StationOrder,halt_time_minutes,distance_travelled_km,distance_remaining_km,speed_kmph,hour_of_day,is_peak_hour,DayOfWeek,is_weekend,temperature_c,rainfall_intensity_mmh,visibility_km,weather_risk_score,Weather,trains_in_section,preceding_delay_minutes,target_delay_minutes,target_congestion_level
TR001,2,Superfast,1,,0.0,1445.0,128.75560007963762,16,0,Monday,0,18.0,0.0,9.0,10,Clear,2,0.0,0.0,LOW
TR001,2,Superfast,2,,150.0,1295.0,119.97611549688749,18,1,Monday,0,18.0,0.0,9.0,10,Clear,5,2.8,5.0,MEDIUM
TR001,2,Superfast,3,,330.0,1115.0,116.1955580748508,21,1,Monday,0,15.0,0.0,9.0,10,Clear,3,10.8,13.0,MEDIUM
TR001,2,Superfast,4,,465.0,980.0,115.78642018276867,23,0,Monday,0,12.0,0.0,1.5,65,Foggy,2,11.6,17.0,MEDIUM
TR001,2,Superfast,5,,785.0,660.0,116.09977800321654,3,0,Tuesday,0,8.0,0.0,1.5,65,Foggy,3,15.7,20.0,MEDIUM
TR001,2,Superfast,6,,945.0,500.0,113.76471809102144,5,0,Tuesday,0,7.0,0.0,1.5,65,Foggy,1,13.3,18.0,MEDIUM
TR001,2,Superfast,7,,1445.0,10.0,121.3711792748606,12,0,Tuesday,0,22.0,0.0,9.0,25,Cloudy,2,8.8,15.0,LOW
TR002,2,Superfast,1,,0.0,1384.0,126.10882085949962,20,1,Tuesday,0,16.0,0.0,9.0,10,Clear,4,0.2,0.0,MEDIUM
TR002,2,Superfast,2,,685.0,699.0,126.70895034957474,4,0,Wednesday,0,14.0,0.0,9.0,10,Clear,3,5.0,8.0,LOW
TR002,2,Superfast,3,,865.0,519.0,128.86109514498042,6,1,Wednesday,0,20.0,0.0,9.0,10,Clear,3,12.2,15.0,MEDIUM
TR002,2,Superfast,4,,1384.0,10.0,120.84165586015999,12,0,Wednesday,0,28.0,0.0,9.0,25,Cloudy,2,5.8,10.0,LOW
TR003,2,Superfast,1,,0.0,308.0,121.98427033982479,6,1,Wednesday,0,12.0,0.0,9.0,10,Clear,4,0.0,0.0,MEDIUM
TR003,2,Superfast,2,,308.0,10.0,126.58618782295287,12,0,Wednesday,0,22.0,0.0,9.0,10,Clear,3,2.2,5.0,LOW
TR004,3,Mail,1,,0.0,2180.0,102.62311559487128,22,0,Thursday,0,16.0,0.0,9.0,10,Clear,2,0.6,0.0,LOW
TR004,3,Mail,2,,195.0,1985.0,83.92407866424205,1,0,Friday,0,10.0,0.0,1.5,65,Foggy,3,7.1,7.0,LOW
TR004,3,Mail,3,,405.0,1775.0,91.94237080505116,4,0,Friday,0,8.0,0.0,1.5,65,Foggy,1,9.6,15.0,LOW
TR004,3,Mail,4,,780.0,1400.0,106.868133510538,10,1,Friday,0,22.0,0.0,9.0,10,Clear,4,12.3,20.0,MEDIUM
TR004,3,Mail,5,,1160.0,1020.0,100.58875902692665,16,0,Friday,0,26.0,0.0,9.0,25,Cloudy,3,12.5,18.0,LOW
TR004,3,Mail,6,,1445.0,735.0,105.16372176666623,20,1,Friday,0,24.0,0.0,9.0,10,Clear,3,15.4,22.0,MEDIUM
TR004,3,Mail,7,,2180.0,10.0,96.44111473193021,12,0,Saturday,1,32.0,0.0,9.0,25,Cloudy,2,16.0,20.0,LOW
TR005,4,Passenger,1,,0.0,495.0,74.51203528845738,5,0,Saturday,1,14.0,0.0,9.0,10,Clear,2,2.7,0.0,LOW
TR005,4,Passenger,2,,90.0,405.0,62.780749738866895,7,1,Saturday,1,15.0,0.0,9.0,10,Clear,5,4.7,5.0,MEDIUM
TR005,4,Passenger,3,,165.0,330.0,67.5931532161795,8,1,Saturday,1,16.0,0.0,9.0,10,Clear,3,4.4,10.0,MEDIUM
TR005,4,Passenger,4,,240.0,255.0,66.88815481877948,10,1,Saturday,1,17.0,0.0,9.0,10,Clear,4,6.4,12.0,MEDIUM
TR005,4,Passenger,5,,345.0,150.0,65.85267476828534,12,0,Saturday,1,18.0,0.0,9.0,10,Clear,3,11.4,15.0,LOW
TR005,4,Passenger,6,,495.0,10.0,60.55917169538701,12,0,Saturday,1,19.0,0.0,9.0,10,Clear,1,8.0,10.0,LOW
TR006,2,Superfast,1,,0.0,195.0,127.6159734953734,6,1,Sunday,1,13.0,0.0,9.0,10,Clear,4,0.0,0.0,MEDIUM
TR006,2,Superfast,2,,150.0,45.0,126.99408862451871,8,1,Sunday,1,15.0,0.0,9.0,10,Clear,5,5.7,4.0,MEDIUM
TR006,2,Superfast,3,,195.0,10.0,124.25353928996044,12,0,Sunday,1,18.0,0.0,9.0,10,Clear,1,0.9,5.0,LOW
TR007,2,Superfast,1,,0.0,985.0,129.20215624859554,15,0,Monday,0,26.0,0.0,9.0,10,Clear,2,0.0,0.0,LOW
TR007,2,Superfast,2,,120.0,865.0,122.61721684750216,18,1,Monday,0,22.0,0.0,9.0,10,Clear,5,4.2,10.0,MEDIUM
TR007,2,Superfast,3,,485.0,500.0,125.9221640032875,1,0,Tuesday,0,18.0,0.0,9.0,10,Clear,1,7.0,13.0,LOW
TR007,2,Superfast,4,,680.0,305.0,131.89232780205168,4,0,Tuesday,0,20.0,0.0,9.0,10,Clear,2,7.4,15.0,LOW
TR007,2,Superfast,5,,985.0,10.0,120.7134924152102,12,0,Tuesday,0,24.0,0.0,9.0,25,Cloudy,3,11.7,15.0,LOW
TR008,2,Superfast,1,,0.0,120.0,123.96889970516719,5,0,Tuesday,0,24.0,0.0,9.0,10,Clear,2,1.7,0.0,LOW
TR008,2,Superfast,2,,120.0,10.0,126.76739668966309,12,0,Tuesday,0,23.0,0.0,9.0,10,Clear,3,0.9,3.0,LOW
TR009,3,Express,1,,0.0,492.0,98.15954636768024,14,0,Wednesday,0,27.0,0.0,9.0,10,Clear,2,0.0,0.0,LOW
TR009,3,Express,2,,340.0,152.0,103.27655500213278,17,1,Wednesday,0,19.0,0.0,9.0,10,Clear,5,5.2,7.0,LOW
TR009,3,Express,3,,492.0,10.0,105.47352894934082,12,0,Wednesday,0,16.0,0.0,9.0,10,Clear,1,7.4,10.0,LOW
TR010,2,Superfast,1,,0.0,1215.0,127.43359743153142,18,1,Thursday,0,24.0,2.5,3.0,20,Rainy,4,1.4,0.0,MEDIUM
TR010,2,Superfast,2,,160.0,1055.0,126.86195991134531,20,1,Thursday,0,22.0,2.5,3.0,20,Rainy,5,9.0,12.0,MEDIUM
TR010,2,Superfast,3,,275.0,940.0,122.56501251145134,22,0,Thursday,0,21.0,2.5,3.0,20,Rainy,1,12.5,15.0,LOW
TR010,2,Superfast,4,,395.0,820.0,116.92738676949868,0,0,Friday,0,19.0,2.5,3.0,20,Rainy,2,13.7,20.0,MEDIUM
TR010,2,Superfast,5,,740.0,475.0,131.30793578429856,6,1,Friday,0,25.0,2.5,3.0,20,Rainy,5,10.9,18.0,HIGH
